Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li, Xinze; Zhang, Xin; Lin, Fanfan; ",Multi-objective design of output LC filter for buck converter via the coevolving-AMOSA algorithm,IEEE Access,9,,11884-11894,2020,IEEE
"Li, Xinze; Zhang, Xin; Lin, Fanfan; Sun, Changjiang; Mao, Kezhi; ",Artificial-intelligence-based triple phase shift modulation for dual active bridge converter with minimized current stress,IEEE Journal of Emerging and Selected Topics in Power Electronics,11,4,4430-4441,2021,IEEE
"Lin, Fanfan; Zhang, Xin; Li, Xinze; ",Stability-oriented resonant parameter design for cllc-type resonant dual active bridge converter with swarm intelligence,2020 IEEE Energy Conversion Congress and Exposition (ECCE),,,6175-6178,2020,IEEE
"Li, Xinze; Zhang, Xin; Lin, Fanfan; ",Design of LC filter for boost converter with the considerations of efficiency and power density,IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,,,2846-2849,2020,IEEE
"Li, Xinze; Zhang, Xin; Lin, FanFan; ","Pareto-frontier-based multi-objective design of output LC filter for high efficiency, high reliability, and high power-density buck converter",2020 IEEE 9th International Power Electronics and Motion Control Conference (IPEMC2020-ECCE Asia),,,1579-1582,2020,IEEE
"Li, Xinze; Lin, Fanfan; Zhang, Xin; Huang, Meng; Wang, Huai; ","Multi-objective Design of LC Filter for High-efficiency, High-power-density and High-performance Buck Converter",2019 IEEE Energy Conversion Congress and Exposition (ECCE),,,5132-5136,2019,IEEE
"Lin, Fanfan; Zhang, Xin; Li, Xinze; Ma, Hao; Cai, Chunwei; ",Design of symmetrical CLLC resonant DC transformer considering voltage transfer ratio and cascaded system stability,IEEE Transactions on Industrial Electronics,69,1,463 - 474,2021,IEEE
"Lin, Fanfan; Zhang, Xin; Li, Xinze; Sun, Changjiang; Cai, Wenjian; Zhang, Zhe; ",Automatic triple phase-shift modulation for DAB converter with minimized power loss,IEEE Transactions on Industry Applications,58,3,3840-3851,2021,IEEE
"Li, Xinze; Zhang, Xin; Lin, Fanfan; Blaabjerg, Frede; ",Artificial-intelligence-based design for circuit parameters of power converters,IEEE Transactions on Industrial Electronics,69,11,11144-11155,2021,IEEE
"Li, Xinze; Mao, Kezhi; Lin, Fanfan; Zhang, Xin; ",Particle swarm optimization with state-based adaptive velocity limit strategy,Neurocomputing,447,,64-79,2021,Elsevier
"Lin, Fanfan; Zhang, Xin; Li, Xinze; ",Swarm Intelligence Aided Parameter Design for the Symmetrical CLLC-Type DAB Converter with Robust Voltage Conversion Gain,IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,,,2856-2860,2020,IEEE
